layer,unit,description
conv1,0,Edges of objects
conv1,1,The top boundary of horizontal objects
conv1,2,Fluorescent blue and green objects
conv1,3,Green objects
conv1,4,Blue objects
conv1,5,White lines next to darker objects
conv1,6,White dots outlining objects
conv1,7,Red and yellow objects
conv1,8,Red objects
conv1,9,Blue and red objects
conv1,10,Black and white colored objects
conv1,11,Red objects
conv1,12,Fluorescent blue and green objects
conv1,13,Horizontal lines
conv1,14,White dots outlining objects
conv1,15,Fluorescent blue and green objects
conv1,16,Edges
conv1,17,Muted images
conv1,18,The left side of the object
conv1,19,The area under the lines
conv1,20,Purple lights
conv1,21,Green and yellow objects
conv1,22,Green objects
conv1,23,Fluorescent blue and green objects
conv1,24,Fluorescent white areas
conv1,25,Horizontal lines
conv1,26,The area under the object
conv1,27,White outlines of horizontal lines
conv1,28,Muted images
conv1,29,The bottom of objects
conv1,30,Vertical lines
conv1,31,White outlines
conv1,32,Vertical lines
conv1,33,The area under a object
conv1,34,Red colored objects
conv1,35,Diagonal lines
conv1,36,Edges
conv1,37,Fluorescent white generally from the sky or walls
conv1,38,Nothing
conv1,39,White outlines of poles
conv1,40,White dots outlining objects
conv1,41,Fluorescent white backgrounds
conv1,42,Blue objects
conv1,43,White dots outlining objects
conv1,44,White lines along blackish objects
conv1,45,Purple lights
conv1,46,White lines
conv1,47,The left side of objects
conv1,48,Muted images
conv1,49,White outlines of black lines
conv1,50,White dots outlining objects
conv1,51,White outlines of objects
conv1,52,White outlines of objects
conv1,53,White lines under lines
conv1,54,White lines along blackish objects
conv1,55,Fluorescent white areas
conv1,56,Windows on a building
conv1,57,Black and white stripes
conv1,58,Small lines on the bottom of a object
conv1,59,Yellow objects
conv1,60,White outlines of objects
conv1,61,Vertical lines
conv1,62,White dots outlining objects
conv1,63,The top of a building
layer1,0,Green colored objects
layer1,1,Dots on the corners
layer1,2,Flowers
layer1,3,Dots on the corners
layer1,4,Red and white colored objects
layer1,5,Vertical lines
layer1,6,Diagonal lines
layer1,7,Red and purple objects
layer1,8,Red and yellow dots
layer1,9,Blue objects
layer1,10,Dots on the corners
layer1,11,Yellow dots
layer1,12,Dots on curved lines
layer1,13,The area under the object
layer1,14,Purple lights
layer1,15,Blue dots
layer1,16,Vertical lines
layer1,17,The edges of things
layer1,18,The left side of lines
layer1,19,Dots on the corners
layer1,20,Flowers
layer1,21,Vertical lines
layer1,22,Green objects
layer1,23,Blue objects
layer1,24,Vertical lines
layer1,25,Vertical lines
layer1,26,Dots on the corners
layer1,27,Green colored objects
