layer,unit,description
conv1,0,Black lettering and numbers
conv1,1,Neon green
conv1,2,Red or orange
conv1,3,Horizontal lines
conv1,4,Spots of the color white
conv1,5,White outlines
conv1,6,Horizontal lines
conv1,7,Horizontal lines
conv1,8,White lines
conv1,9,The white edges along things
conv1,10,Red colored objects
conv1,11,Red objects
conv1,12,Blue and red lines
conv1,13,White backgrounds
conv1,14,Red and yellow objects
conv1,15,Black and white stripes
conv1,16,Blue objects
conv1,17,Stripes
conv1,18,Zebra stripes
conv1,19,Neon green
conv1,20,Black and white stripes
conv1,21,Horizontal lines
conv1,22,White lines
conv1,23,Purple areas
conv1,24,Black and white lettering
conv1,25,The area under lines
conv1,26,White areas
conv1,27,Stripes
conv1,28,White lines
conv1,29,Pink colored objects
conv1,30,The area under lines
conv1,31,Neon green
conv1,32,Blue objects
conv1,33,Stripes
conv1,34,Fluorescent blue and green objects
conv1,35,Red objects
conv1,36,Vertical lines
conv1,37,White lines
conv1,38,Horizontal lines
conv1,39,White lines
conv1,40,Yellow and orange objects
conv1,41,Blue and red objects
conv1,42,Red objects
conv1,43,Red objects
conv1,44,The color yellow
conv1,45,Blue areas in pictures
conv1,46,Vertical lines
conv1,47,Horizontal lines
conv1,48,White outlines of objects
conv1,49,Stripes
conv1,50,Zebra spots
conv1,51,White lines
conv1,52,Nothing
conv1,53,Black and white lines
conv1,54,Black and white stripes
conv1,55,White lines
conv1,56,"Purple, red and blue fluorescent objects"
conv1,57,Blue areas
conv1,58,Nothing
conv1,59,Black and white colored objects
conv1,60,White lines
conv1,61,The designer perfume and designer shoes go perfectly
conv1,62,Blue objects
conv1,63,Stripes
fc,0,Living things
fc,1,Fish in pictures
fc,2,The undersides of sharks and the ocean
fc,3,Sharks and underwater animals
fc,4,Sharks and underwater animals
fc,5,Aquatic life
fc,6,Aquatic life
fc,7,Animals
fc,8,Birds
fc,9,Animals
fc,10,Birds
fc,11,Birds
fc,12,Birds
fc,13,Birds
fc,14,Birds
fc,15,Birds
fc,16,Birds
fc,17,Birds
fc,18,Birds
fc,19,Birds
fc,20,Birds
fc,21,Birds
fc,22,Birds
fc,23,Birds
fc,24,Animals
fc,25,Nature
fc,26,Nature
fc,27,Nature
fc,28,Nature
fc,29,Nature
fc,30,Nature
fc,31,Green areas in picture
fc,32,Edges of objects
fc,33,"Aquatic life, animals"
fc,34,Nature
fc,35,Animals
fc,36,Items with circular features
fc,37,Items with circular features
fc,38,Animals
fc,39,Items with designs
fc,40,Green areas in picture
fc,41,Nature
fc,42,Nature
fc,43,Animals
fc,44,Nature
fc,45,Nature
fc,46,Green areas in picture
fc,47,Nature
fc,48,Nature
fc,49,Items with straight features
fc,50,Bodies of water
fc,51,Animals
fc,52,Edges of objects
fc,53,Edges of objects
fc,54,Nature
fc,55,Green areas in picture
fc,56,Nature
fc,57,Edges of objects
fc,58,Nature
fc,59,Green areas in picture
fc,60,Edges of objects
fc,61,Items with designs
fc,62,Items with designs
fc,63,Animals
fc,64,Green areas in picture
fc,65,Nature
fc,66,Nature
fc,67,Nature
fc,68,Nature
fc,69,Fossils
fc,70,Nature
fc,71,Regions with straight features
fc,72,"Insects, spiders"
fc,73,"Insects, spiders"
fc,74,"Insects, spiders"
fc,75,Nature
fc,76,Spiders and lizards
fc,77,Nature
fc,78,Nature
fc,79,Nature
fc,80,Birds
fc,81,Birds
fc,82,Birds
fc,83,Birds
fc,84,Nature
fc,85,Birds
fc,86,Birds
fc,87,Birds
fc,88,Animal heads
fc,89,Nature
fc,90,Birds
fc,91,Birds
fc,92,Birds
fc,93,Birds
fc,94,Birds
fc,95,Birds
fc,96,Edges of objects
fc,97,Birds
fc,98,Birds
fc,99,Birds
fc,100,Birds
fc,101,Nature
fc,102,Living things
fc,103,Items with straight features
fc,104,Animals
fc,105,Animals
fc,106,Animals
fc,107,The jellyfish are illuminated to the point of glowing
fc,108,Sea urchins
fc,109,Aquatic life
fc,110,Aquatic life
fc,111,"Nature, green objects"
fc,112,Aquatic life
fc,113,Aquatic life
fc,114,Nature
fc,115,Aquatic life
fc,116,Aquatic life
fc,117,Aquatic life
fc,118,"Aquatic life, food"
fc,119,Nature
fc,120,Nature
fc,121,"Nature, food"
fc,122,Red objects
fc,123,Nature
fc,124,The color red
fc,125,Nature
fc,126,Nature
fc,127,Birds
fc,128,Birds
fc,129,Birds
fc,130,Birds
fc,131,Birds
fc,132,Birds
fc,133,Birds
fc,134,Birds
fc,135,Birds
fc,136,Birds
fc,137,Birds
fc,138,Birds
