layer,unit,description
conv1,0,White dots outlining objects
conv1,1,Green objects
conv1,2,Red objects
conv1,3,The color white
conv1,4,The rings of a tree
conv1,5,White outlines of black objects
conv1,6,Vertical lines
conv1,7,Windows
conv1,8,White outlines of objects
conv1,9,White outlines of horizontal lines
conv1,10,Yellow and blue colored objects
conv1,11,Red objects
conv1,12,Blue colored objects
conv1,13,Fluorescent white backgrounds
conv1,14,Red objects
conv1,15,Black and white colored objects
conv1,16,Blue objects
conv1,17,Vertical lines
conv1,18,Striped objects
conv1,19,Green objects
conv1,20,White outlines of objects
conv1,21,Horizontal white lines
conv1,22,White colored objects
conv1,23,Pink colored objects
conv1,24,The top of a building roof
conv1,25,The outline of the object
conv1,26,The left side of objects
conv1,27,Black and white stripes
conv1,28,White outlines of black objects
conv1,29,Purple and pink objects
conv1,30,White outlines of objects
conv1,31,Green objects
conv1,32,Blue objects
conv1,33,Black and white colored objects
conv1,34,Blue green and blue objects
conv1,35,Red objects
conv1,36,The left side of objects
conv1,37,White outlines of poles
conv1,38,White outlines of poles
conv1,39,White outlines of objects
conv1,40,Yellow objects
conv1,41,The outline of the object
conv1,42,Red and white objects
conv1,43,Red objects
conv1,44,The top part of objects
conv1,45,Blue objects
conv1,46,Black and white colored objects
conv1,47,The color white
conv1,48,White outlines of objects
conv1,49,Objects with stripes in it
conv1,50,White dots outlining objects
conv1,51,White outlines of objects
conv1,52,The color white
conv1,53,White dots outlining a object
conv1,54,Vertical lines
conv1,55,Vertical lines
conv1,56,Pink colored objects
conv1,57,Blue objects
conv1,58,White dots outlining objects
conv1,59,White outlines of black objects
conv1,60,White colored objects
conv1,61,White dots outlining a object
conv1,62,Blue objects
conv1,63,Stripes
layer1,0,Pink and purple objects
layer1,1,Purple and pink objects
layer1,2,Black and white colored objects
layer1,3,White outlines of poles
layer1,4,White dots outlining objects
layer1,5,Blue or purple
layer1,6,Yellow and blue colored objects
layer1,7,Stripes
layer1,8,Grass
layer1,9,White dots outlining objects
layer1,10,Red and white objects
layer1,11,White dots on corners
layer1,12,Striped objects
layer1,13,Muted
layer1,14,White dots outlining objects
layer1,15,White dots outlining objects
layer1,16,Stop signs
layer1,17,Black and white colored objects
layer1,18,Yellow and blue colored objects
layer1,19,Red objects
layer1,20,White dots outlining objects
layer1,21,Stripes
layer1,22,The left side of objects
layer1,23,Dots on the bottom of a line
layer1,24,Black and white colored objects
layer1,25,Dots on the bottom of a line
layer1,26,Red colored object with text
layer1,27,The outline of the object
layer1,28,Bright yellow colored objects
layer1,29,Black and white colored objects
layer1,30,Bright yellow colored objects
layer1,31,Black and white colored objects
layer1,32,Black and white colored objects
layer1,33,White dots
layer1,34,Yellow and blue colored objects
layer1,35,Diagonal lines
layer1,36,Black and white colored objects
layer1,37,White dots outlining objects
layer1,38,Blue objects
layer1,39,Blue colored objects
layer1,40,Dots on the bottom of a line
layer1,41,Stripes
layer1,42,Dots on the bottom of a line
layer1,43,White outlines of poles
layer1,44,White spots in pictures
layer1,45,Colorful dots
layer1,46,White dots outlining objects
layer1,47,White outlines of objects
layer1,48,Colorful dots
layer1,49,Black and white colored objects
layer1,50,Black and white colored objects
layer1,51,White dots outlining objects
layer1,52,The bottom of a circle
layer1,53,Diagonal white lines
layer1,54,Blue objects
layer1,55,Black and white colored objects
layer1,56,Stripes
layer1,57,Black and white colored objects
layer1,58,Vertical lines
layer1,59,Black and white colored objects
layer1,60,Red objects
layer1,61,Black and white colored objects
layer1,62,Stripes
layer1,63,Stripes
layer1,64,Striped objects
layer1,65,Blue objects
layer1,66,Dots on the bottom of a object
layer1,67,Striped or patterned objects
layer1,68,White dots outlining objects
layer1,69,Yellow and blue colored objects
layer1,70,Blue objects
layer1,71,Hockey players
layer1,72,Yellow and blue colored objects
layer1,73,Green objects
layer1,74,White outlines of black objects
layer1,75,Yellow and blue colored objects
layer1,76,White dots outlining objects
layer1,77,Yellow and blue colored objects
layer1,78,Stripes
layer1,79,The left side of objects
layer1,80,White dots outlining objects
layer1,81,Stripes
layer1,82,White dots
layer1,83,White dots outlining objects
layer1,84,White dots outlining objects
layer1,85,Yellow and blue colored objects
layer1,86,White lines
layer1,87,White dots outlining objects
layer1,88,Fluorescent white and blue objects
layer1,89,Colorful dots
layer1,90,Green and blue objects
layer1,91,The bottom of a line
layer1,92,The bottom of a line
layer1,93,Stop signs
layer1,94,Striped objects
layer1,95,White dots outlining objects
layer1,96,Red objects
layer1,97,White dots outlining objects
layer1,98,Black and white colored objects
layer1,99,Black and white colored objects
layer1,100,The left side of objects
layer1,101,White dots outlining objects
layer1,102,Diagonal lines and stripes
layer1,103,White spaces below black bars
layer1,104,Stripes
layer1,105,Green colored objects
layer1,106,White dots
layer1,107,White dots outlining objects
layer1,108,Blue objects
layer1,109,Stripes
layer1,110,Red and pink objects
layer1,111,White dots outlining objects
layer1,112,Blue and purple objects
layer1,113,Stripes
layer1,114,Yellow and blue colored objects
layer1,115,Vertical stripes
layer1,116,White outlines
layer1,117,Vertical lines
layer1,118,White dots outlining objects
layer1,119,White dots on diagonals
layer1,120,Red and blue objects
layer1,121,The left of a couch
layer1,122,The left side of objects
layer1,123,Diagonal white lines
