unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,scene,heliport-s,0.181818182,blue-c,61494563,3926272,1120865,0.017431812,airplane,1293178,3926272,609452,0.132202227,body,1291612,3700480,317328,0.067881074,brick,422313,50176,226,0.000478547,heliport-s,125440,363776,75264,0.181818182,,24924928,100352,100352,0.00402617
2,scene,cockpit-s,0.297709924,black-c,139916835,3938816,1066393,0.0074683,seat,1488057,2797312,380248,0.097371631,hair,1159565,1430016,35743,0.013995798,metal,3462561,915712,22957,0.00527103,cockpit-s,539392,1593088,489216,0.297709924,,24924928,263424,250880,0.010060362
3,scene,airport_terminal-s,0.432432432,green-c,63326720,3963904,435584,0.00651535,ceiling,12122565,2508800,561763,0.039927427,coach,689166,777728,9352,0.006416282,granite,1315719,852992,23477,0.010943794,airport_terminal-s,1480192,1843968,1003520,0.432432432,grid,1682240,413952,50176,0.024523757
4,scene,bedroom-s,0.050505051,grey-c,159331282,4001536,1183757,0.007300425,bed,5899566,1944320,263314,0.034735374,headboard,500152,1417472,31040,0.016453018,painted,13470129,2019584,257633,0.016913842,bedroom-s,19167232,1705984,1003520,0.050505051,,24924928,12544,12544,0.000503271
5,scene,alley-s,0.323770492,black-c,139916835,3951360,1148815,0.008049467,building,35246027,3524864,1884801,0.05109788,balcony,317196,2057216,18230,0.007737093,concrete,382930,351232,17581,0.024534561,alley-s,1091328,2960384,990976,0.323770492,,24924928,0,0,0
6,scene,amphitheater-s,0.22,green-c,63326720,3963904,498840,0.007468583,grandstand,516123,2245376,273326,0.109850079,shaft,46090,326144,5426,0.01479248,brick,422313,175616,5297,0.008938093,amphitheater-s,275968,1254400,275968,0.22,striped,2433536,1379840,413952,0.121771218
7,scene,amusement_arcade-s,0.150684932,purple-c,10857154,3938816,145139,0.009906537,arcade machine,232378,2985472,204677,0.067927397,screen,677188,1680896,110641,0.049229725,glass,2246777,940800,16028,0.005053682,amusement_arcade-s,301056,1806336,275968,0.150684932,paisley,1555456,489216,112896,0.058441558
8,scene,amusement_park-s,0.308333333,blue-c,61494563,3913728,779630,0.012063224,carousel,134810,2947840,109414,0.036799635,head,4946761,1342208,55519,0.008906625,fur,103280,225792,832,0.002534731,amusement_park-s,564480,1404928,464128,0.308333333,cobwebbed,1505280,715008,137984,0.06626506
9,scene,apartment_building-outdoor-s,0.113207547,grey-c,159331282,3976448,1193026,0.007359147,building,35246027,3788288,2127131,0.057634606,balcony,317196,2521344,74460,0.026938439,concrete,382930,37632,385,0.000916281,apartment_building-outdoor-s,928256,3512320,451584,0.113207547,woven,1781248,37632,12544,0.006944444
10,scene,aquatic_theater-s,0.142857143,blue-c,61494563,4001536,876310,0.013561016,aquarium,93689,1881600,78343,0.041299541,head,4946761,1379840,121547,0.019588387,food,1104928,301056,7839,0.005606715,aquatic_theater-s,125440,175616,37632,0.142857143,crystalline,1530368,2333184,238336,0.065743945
11,scene,bridge-s,0.123076923,green-c,63326720,3963904,665209,0.009984313,bridge,432492,3499776,150861,0.039895467,arcades,36106,652288,9854,0.014522357,concrete,382930,112896,5855,0.011949687,bridge-s,639744,2107392,301056,0.123076923,,24924928,727552,589568,0.023523524
12,scene,cloister-indoor-s,0.117241379,black-c,139916835,3951360,865402,0.006051644,sidewalk,4001057,2558976,148303,0.023129951,shop window,233888,990976,11246,0.009266507,tile,3959469,1329664,87773,0.01687501,cloister-indoor-s,263424,1768704,213248,0.117241379,,24924928,238336,238336,0.009562154
