unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,scene,reception-s,0.081296847,orange-c,30348501,3719471,264947,0.007837967,counter,599104,1099437,91206,0.056743616,drawer,540514,591092,24008,0.021675734,granite,1315719,1850269,65772,0.021215296,reception-s,790272,836817,122332,0.081296847,,24924928,41006,41006,0.00164518
2,part,shop window,0.071163591,red-c,21004512,3760314,160618,0.00652807,shelf,1919975,2264169,167207,0.041625497,shop window,233888,922823,76847,0.071163591,paper,471596,974050,7902,0.005496111,pantry-s,413952,1760862,90087,0.043212852,,24924928,134564,129602,0.005198659
3,object,water,0.066783737,blue-c,61494563,3762569,730665,0.011323493,water,5662399,3008272,542809,0.066783737,back pillow,282308,731405,6523,0.006476434,food,1104928,302133,37384,0.027294026,coast-s,1103872,1462296,111865,0.045579132,sprinkled,1718528,514368,55265,0.025378496
4,scene,auditorium-s,0.094316595,red-c,21004512,3634663,220960,0.009048982,seat,1488057,2384976,219625,0.060115103,screen,677188,768052,55753,0.040124881,glass,2246777,728674,29609,0.010051116,auditorium-s,489216,1677022,186703,0.094316595,honeycombed,1555456,253836,23697,0.013271207
5,scene,dining_room-s,0.037401582,yellow-c,34166024,3695255,238819,0.006347777,windowpane,8841352,2070394,232045,0.021727668,column,193649,879140,27485,0.026293786,glass,2246777,1021310,23249,0.007164919,dining_room-s,5694976,1551134,261245,0.037401582,,24924928,104894,94586,0.003793267
6,scene,slum-s,0.03886939,grey-c,159331282,3729348,945270,0.005830848,shelf,1919975,1214605,77706,0.025420086,lid,90429,500378,12527,0.021662516,paper,471596,1668556,22741,0.010740003,slum-s,200704,687868,33246,0.03886939,,24924928,161013,144505,0.005793772
7,scene,gazebo-exterior-s,0.049204282,pink-c,18491188,3794106,145003,0.006549282,mountain,5469345,2204341,144013,0.019126063,roof,443437,555598,21738,0.022242982,food,1104928,459551,31174,0.020331245,gazebo-exterior-s,363776,1371717,81389,0.049204282,chequered,1530368,1094192,118588,0.047322157
8,scene,vineyard-s,0.054866117,green-c,63326720,3733401,869636,0.013138384,plant,3760075,2496033,188129,0.031003568,pot,422616,678383,7001,0.006399463,tile,3959469,270473,16118,0.003825029,vineyard-s,150528,1249965,72843,0.054866117,woven,1781248,978565,101300,0.038104008
9,object,plant,0.105114062,green-c,63326720,3747457,1351014,0.020556132,plant,3760075,2248418,571504,0.105114062,pot,422616,924194,54409,0.042099163,foliage,30325,601305,5263,0.008402422,greenhouse-indoor-s,363776,1119505,139557,0.103858382,frilly,1618176,520146,194157,0.099866524
10,scene,ball_pit-s,0.042467278,green-c,63326720,3639296,1347274,0.020531847,grass,12961339,1894754,391680,0.027078873,body,1291612,723028,22187,0.01113552,food,1104928,751816,40952,0.022553244,ball_pit-s,275968,814532,44424,0.042467278,veined,1806336,667605,98432,0.041436172
11,scene,highway-s,0.088185402,blue-c,61494563,3741395,678840,0.010515339,field,1883336,2531177,175206,0.041328925,crosswalk,241792,622401,9921,0.011613397,carpet,4405463,135896,21030,0.004652316,highway-s,4076800,1332278,438346,0.088185402,grooved,1505280,1189632,104955,0.040523839
12,object,person,0.049749959,black-c,139916835,3771095,1173397,0.008233525,person,14523849,2040375,785015,0.049749959,torso,7669375,1388768,225730,0.025557002,fabric,8548746,1234922,90960,0.009384374,booth-indoor-s,150528,597681,34999,0.049072503,,24924928,188881,180409,0.007235636
13,scene,dining_room-s,0.051948605,red-c,21004512,3745586,225045,0.009176127,chair,4633108,1910645,138353,0.021599432,top,381885,845636,30910,0.025831285,carpet,4405463,938844,55726,0.010537042,dining_room-s,5694976,1241328,342537,0.051948605,waffled,1555456,808092,88028,0.038684784
14,scene,islet-s,0.036928826,black-c,139916835,3737545,812267,0.005686467,boat,1245134,2480643,111411,0.030824493,headboard,500152,721619,22676,0.018910929,wallpaper,479323,628664,13431,0.012270729,islet-s,200704,1199040,49850,0.036928826,stratified,1568000,488590,35811,0.017721384
15,object,fence,0.053904289,black-c,139916835,3764985,858520,0.006011064,fence,2236367,2606065,247677,0.053904289,neck,812426,1205769,28784,0.014468604,wood,9793596,582611,50709,0.004911046,boxing_ring-s,150528,1165119,49126,0.038788145,banded,2571520,319912,41305,0.014492337
16,scene,operating_room-s,0.060952724,pink-c,18491188,3579218,122296,0.005572052,bed,5899566,1347643,200977,0.02852262,footboard,366693,756948,16540,0.01493992,fabric,8548746,1322763,115356,0.011823923,operating_room-s,213248,1012424,70416,0.060952724,freckled,1555456,85109,13541,0.008322557
17,scene,ice_skating_rink-indoor-s,0.039870051,black-c,139916835,3744730,1027665,0.007204914,grandstand,516123,1312364,28752,0.015975685,fire escape,51663,503968,10547,0.019349311,concrete,382930,639229,8639,0.008523759,ice_skating_rink-indoor-s,250880,577181,31749,0.039870051,cobwebbed,1505280,650866,62842,0.030020484
18,scene,conference_room-s,0.090838275,orange-c,30348501,3677189,338022,0.010033998,seat,1488057,2484789,118558,0.030760026,top,381885,632680,6625,0.006572812,fabric,8548746,859548,70146,0.007511768,conference_room-s,2308096,1738938,337012,0.090838275,,24924928,234974,210543,0.008438814
19,object,car,0.074145434,blue-c,61494563,3758862,446708,0.006892927,car,5354795,3440296,607102,0.074145434,wheel,1513439,2331892,179379,0.048931083,fur,103280,215358,1827,0.005766845,badlands-s,313600,802315,61412,0.058237862,potholed,1580544,268925,22014,0.012046261
20,scene,bakery-shop-s,0.166383353,yellow-c,34166024,3779870,422430,0.011257756,case,608750,832596,138901,0.106646346,pot,422616,269416,13712,0.020214648,food,1104928,1853779,215387,0.078513261,bakery-shop-s,715008,466550,168548,0.166383353,waffled,1555456,587415,69749,0.033644426
21,object,house,0.034828091,red-c,21004512,3657832,136378,0.005560556,house,1833277,2346790,140684,0.034828091,roof,443437,818038,32305,0.026281963,glass,2246777,679110,12941,0.004442581,corridor-s,1530368,1256981,71107,0.026178448,,24924928,224737,186355,0.007465156
22,object,bookcase,0.051052396,red-c,21004512,3730198,216677,0.008837454,bookcase,521264,2751751,158979,0.051052396,garage door,63629,873208,22661,0.024788443,glass,2246777,545604,6378,0.002289301,bookstore-s,401408,1942134,113593,0.05093973,grid,1682240,233430,24279,0.012836584
23,scene,river-s,0.04909106,green-c,63326720,3765661,705236,0.010623081,mountain,5469345,3563312,359878,0.041495119,coach,689166,977304,13337,0.008067711,concrete,382930,100595,989,0.002049588,river-s,627200,1574305,103017,0.04909106,potholed,1580544,469658,32858,0.016287753
24,scene,kitchen-s,0.039843283,grey-c,159331282,3722250,959666,0.005920434,stove,359571,1094516,43799,0.031056777,button panel,31244,635005,5283,0.007992847,wood,9793596,1793060,103493,0.009012587,kitchen-s,9006592,803928,375906,0.039843283,,24924928,85759,85759,0.003440692
25,object,fireplace,0.043200631,brown-c,182265724,3684880,1305474,0.007070178,fireplace,390206,1842742,92470,0.043200631,headboard,500152,1104227,22514,0.014232567,glass,2246777,1367254,32156,0.008977421,dining_room-s,5694976,1633860,263308,0.037266571,,24924928,31579,29664,0.001190042
26,scene,corridor-s,0.067954713,brown-c,182265724,3723037,1251625,0.006775167,bathtub,583451,1087232,30854,0.018815376,fire escape,51663,394770,5783,0.013123794,tile,3959469,1336777,56717,0.010824828,corridor-s,1530368,907323,155112,0.067954713,chequered,1530368,178137,22215,0.013173891
27,scene,aqueduct-s,0.038096841,brown-c,182265724,3704384,937393,0.005066093,pillar,604113,2284756,70725,0.025096305,shaft,46090,656956,5779,0.008288073,concrete,382930,594357,8207,0.008468857,aqueduct-s,225792,1346987,57719,0.038096841,chequered,1530368,472707,45200,0.023086254
28,scene,cockpit-s,0.039432901,blue-c,61494563,3670020,475449,0.007349751,sea,2272224,2246138,81455,0.01835851,wave,42267,892688,20372,0.022274632,food,1104928,274376,15100,0.011068726,cockpit-s,539392,860721,53116,0.039432901,sprinkled,1718528,1120634,60602,0.021810578
29,scene,alley-s,0.048041684,yellow-c,34166024,3696612,276315,0.007351478,building,35246027,1791362,749651,0.020658521,balcony,317196,572458,8468,0.009609776,painted,13470129,996910,142331,0.009936049,alley-s,1091328,1332827,111122,0.048041684,,24924928,127588,119653,0.004799008
