unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1,part,body,0.042096571,grey-c,159331282,3532975,883342,0.005453371,bottle,940208,1565862,87077,0.03599721,body,1291612,774358,83457,0.042096571,metal,3462561,1073630,50837,0.011334,game_room-s,1367296,709537,17812,0.008650713,grooved,1505280,196303,16607,0.009855927
2,texture,freckled,0.127612946,pink-c,18491188,3575402,156370,0.007136852,bottle,940208,2342838,96884,0.030407744,body,1291612,1067384,119747,0.053476411,carpet,4405463,563892,36157,0.007329323,shopfront-s,200704,1118464,20551,0.015825297,freckled,1555456,467697,228962,0.127612946
3,object,person,0.027033434,white-c,72511065,3606404,721418,0.009568379,person,14523849,1329664,417294,0.027033434,arm,2299112,889656,69597,0.022312659,fabric,8548746,1205304,115948,0.012030169,martial_arts_gym-s,188160,552703,14803,0.020388122,gauzy,1630720,142076,29745,0.017064905
4,object,pool table,0.081743375,blue-c,61494563,3571328,464075,0.007183622,pool table,435101,2524577,223652,0.081743375,body,1291612,902132,31816,0.014716494,fabric,8548746,590857,37506,0.004120589,poolroom-home-s,1317120,1436726,171771,0.066524404,,24924928,230196,197367,0.007908042
5,scene,classroom-s,0.038442595,orange-c,30348501,3388768,685428,0.020737967,table,4805122,1319700,214689,0.036325578,top,381885,444983,25459,0.031767799,wood,9793596,1359178,228164,0.020885322,classroom-s,639744,861439,55573,0.038442595,,24924928,112692,91519,0.00366867
6,part,body,0.102071047,red-c,21004512,3622942,161755,0.006611501,airplane,1293178,2120529,194086,0.060282251,body,1291612,1269967,237247,0.102071047,food,1104928,847079,40033,0.020938046,liquor_store-indoor-s,125440,608377,16773,0.02339187,scaly,1568000,311060,16305,0.008753164
7,texture,freckled,0.086749544,pink-c,18491188,3564180,167878,0.007670043,person,14523849,1762338,581170,0.037005372,torso,7669375,1278510,289300,0.033411926,food,1104928,874241,27883,0.014289551,witness_stand-s,137984,468243,10578,0.017758781,freckled,1555456,482445,162675,0.086749544
8,part,muzzle,0.045444565,black-c,139916835,3649352,847335,0.005937092,dog,3793935,1804794,181972,0.033594271,muzzle,666221,905055,68302,0.045444565,metal,3462561,808273,36674,0.008661458,laundromat-s,363776,741878,36792,0.034421656,spiralled,1605632,301965,61759,0.033458516
9,texture,striped,0.063643288,white-c,72511065,3602757,401117,0.005297882,aqueduct,70970,2012876,42216,0.020677596,muzzle,666221,725279,17692,0.012878073,fur,103280,392576,4203,0.008548712,aqueduct-s,225792,832793,55934,0.055786111,striped,2433536,869220,197621,0.063643288
10,scene,greenhouse-indoor-s,0.074728607,white-c,72511065,3645236,875455,0.011629187,boat,1245134,2712598,98747,0.025588853,coach,689166,789902,21906,0.015033332,glass,2246777,321007,16266,0.006375029,greenhouse-indoor-s,363776,1191237,108124,0.074728607,,24924928,325284,254413,0.01017823
11,scene,cathedral-indoor-s,0.035357919,orange-c,30348501,3469591,221174,0.006583163,building,35246027,2081220,563424,0.015325501,muzzle,666221,748248,16732,0.011970778,brick,422313,667727,8484,0.007844254,cathedral-indoor-s,313600,1216776,52263,0.035357919,,24924928,212209,191974,0.007695841
12,object,book,0.099022816,red-c,21004512,3572572,159437,0.006529581,book,615007,1731421,211415,0.099022816,body,1291612,592302,15964,0.008546267,metal,3462561,1004606,31993,0.007213471,bookstore-s,401408,1018603,83927,0.062815661,,24924928,117573,94890,0.003803571
13,object,pottedplant,0.083217664,green-c,63326720,3495243,942063,0.014299703,pottedplant,925877,1632278,196529,0.083217664,pot,422616,808720,57943,0.049380728,food,1104928,1119587,92801,0.043533513,greenhouse-indoor-s,363776,543998,24163,0.027345744,veined,1806336,305254,36672,0.017673951
14,object,dog,0.079791824,black-c,139916835,3617524,743691,0.005208261,dog,3793935,2766689,484801,0.079791824,torso,7669375,1949766,422043,0.045888714,fur,103280,573610,9751,0.014616144,lighthouse-s,589568,620494,39224,0.033500792,smeared,1869056,192470,11746,0.005730371
